updated_at,experiment,run_name,model,split,rmse,mae,r2,target,rows,result_path,notes
2026-05-08T01:37:32,stacking,default,stacking,test,0.1837486891413862,0.1307065773659572,0.929194366037761,log1p_lh_vs_rent_median_ratio_winsor,9074,res/stacking/metrics.json,
2026-05-08T01:45:27,supervised_ensemble,xgboost__stacking,ensemble_equal,test,0.1838085815808488,0.131265929404849,0.9291482006660016,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/xgboost__stacking/metrics.json,"base_predictions=pred_xgboost,pred_stacking"
2026-05-08T01:45:22,supervised_ensemble,lgbm__optuna_lgbm,ensemble_equal,test,0.1838459718711291,0.1312070142778445,0.9291193724277568,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/lgbm__optuna_lgbm/metrics.json,"base_predictions=pred_lgbm,pred_optuna_lgbm"
2026-05-08T01:45:33,supervised_ensemble,lgbm__xgboost__stacking,ensemble_weighted,test,0.183933580561858,0.1312177873872574,0.9290518024016716,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/lgbm__xgboost__stacking/metrics.json,"base_predictions=pred_lgbm,pred_xgboost,pred_stacking"
2026-05-08T01:45:21,supervised_ensemble,lgbm__stacking,ensemble_weighted,test,0.1839361377459339,0.1310309161329371,0.9290498296367016,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/lgbm__stacking/metrics.json,"base_predictions=pred_lgbm,pred_stacking"
2026-05-08T01:45:33,supervised_ensemble,lgbm__xgboost__stacking,ensemble_equal,test,0.183944237745233,0.131315657070393,0.929043580631028,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/lgbm__xgboost__stacking/metrics.json,"base_predictions=pred_lgbm,pred_xgboost,pred_stacking"
2026-05-08T01:35:08,optuna,default,optuna_lgbm,test,0.1839561377153782,0.1314554385232949,0.9290343995161932,log1p_lh_vs_rent_median_ratio_winsor,9074,res/optuna/metrics.json,n_trials=40
2026-05-08T01:45:21,supervised_ensemble,lgbm__stacking,ensemble_equal,test,0.184135014757046,0.1312105461874547,0.9288963199865164,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/lgbm__stacking/metrics.json,"base_predictions=pred_lgbm,pred_stacking"
2026-05-08T01:31:48,tree_models,default,xgboost,test,0.1844426537508701,0.1322200062256673,0.9286585321051944,log1p_lh_vs_rent_median_ratio_winsor,9074,res/tree_models/metrics.json,
2026-05-08T01:45:20,supervised_ensemble,lgbm__xgboost,ensemble_equal,test,0.1844578529468651,0.1318774153825797,0.928646773679376,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/lgbm__xgboost/metrics.json,"base_predictions=pred_lgbm,pred_xgboost"
2026-05-08T01:45:20,supervised_ensemble,lgbm__xgboost,ensemble_weighted,test,0.1844625752222879,0.13187871383084,0.928643120227981,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/lgbm__xgboost/metrics.json,"base_predictions=pred_lgbm,pred_xgboost"
2026-05-08T01:31:48,tree_models,default,lgbm,test,0.1859085116466475,0.1326391466738368,0.9275200534232624,log1p_lh_vs_rent_median_ratio_winsor,9074,res/tree_models/metrics.json,
2026-05-10T19:47:24,dnn,mlp_256-128-64_dropout0.15,dnn,test,0.24716034104639945,0.17737364768981934,0.8718917965888977,log1p_lh_vs_rent_median_ratio_winsor,9074,res/dnn/metrics.json,best_epoch=54
2026-05-08T01:31:17,baseline,default,gu_property_median,test,0.3138167125764208,0.2236926535894723,0.7934755597490903,log1p_lh_vs_rent_median_ratio_winsor,9074,res/baseline/metrics.json,
2026-05-08T01:31:17,baseline,default,global_median,test,0.7250198169826495,0.6059132162696785,-0.1023488952727547,log1p_lh_vs_rent_median_ratio_winsor,9074,res/baseline/metrics.json,
